resume_id,jd_id,semantic_similarity,required_skill_overlap,preferred_skill_overlap,skills_count,candidate_exp_years,required_exp_years,experience_delta,hard_constraint_met,degree_requirement_met,target_match
res_22,jd_02_backend_lead,0.0985,0.3333,0.0,7,3,5,-2,0.0,1.0,0
res_23,jd_02_backend_lead,0.0119,0.1667,0.0,7,4,5,-1,0.0,1.0,0
res_24,jd_02_backend_lead,0.0418,0.1667,0.4,7,5,5,0,1.0,1.0,0
res_25,jd_02_backend_lead,0.0124,0.1667,0.0,8,5,5,0,1.0,1.0,0
res_26,jd_02_backend_lead,0.0567,0.0,0.0,5,4,5,-1,0.0,1.0,0
res_27,jd_02_backend_lead,0.0129,0.0,0.0,5,2,5,-3,0.0,1.0,0
res_28,jd_02_backend_lead,0.0251,0.1667,0.0,6,5,5,0,1.0,1.0,0
res_29,jd_02_backend_lead,0.1316,1.0,0.2,7,5,5,0,1.0,1.0,1
res_30,jd_02_backend_lead,0.0135,0.1667,0.0,6,3,5,-2,0.0,1.0,0
res_01,jd_03_data_analyst,0.0121,0.3333,0.2,9,4,2,2,1.0,1.0,0
res_02,jd_03_data_analyst,0.0125,0.3333,0.0,8,4,2,2,1.0,1.0,0
res_03,jd_03_data_analyst,0.051,0.1667,0.0,3,1,2,-1,0.0,1.0,0
res_04,jd_03_data_analyst,0.0548,0.1667,0.0,9,6,2,4,1.0,1.0,0
res_05,jd_03_data_analyst,0.0404,0.1667,0.0,7,7,2,5,1.0,1.0,0
res_06,jd_03_data_analyst,0.1307,1.0,0.4,8,3,2,1,1.0,1.0,1
res_07,jd_03_data_analyst,0.155,1.0,0.2,7,2,2,0,1.0,1.0,1
res_08,jd_03_data_analyst,0.0254,0.1667,0.0,9,4,2,2,1.0,1.0,0
res_09,jd_03_data_analyst,0.0116,0.1667,0.0,8,5,2,3,1.0,1.0,0
res_10,jd_03_data_analyst,0.0404,0.1667,0.0,8,4,2,2,1.0,1.0,0
res_11,jd_03_data_analyst,0.0125,0.1667,0.0,8,4,2,2,1.0,1.0,0
res_12,jd_03_data_analyst,0.0371,0.5,0.2,9,6,2,4,1.0,1.0,0
res_13,jd_03_data_analyst,0.0548,0.3333,0.2,8,6,2,4,1.0,1.0,0
res_14,jd_03_data_analyst,0.0,0.0,0.0,7,3,2,1,1.0,1.0,0
res_15,jd_03_data_analyst,0.0125,0.1667,0.0,7,5,2,3,1.0,1.0,0
res_16,jd_03_data_analyst,0.0131,0.1667,0.0,7,5,2,3,1.0,1.0,0
res_17,jd_03_data_analyst,0.0848,0.6667,0.0,4,1,2,-1,0.0,1.0,0
res_18,jd_03_data_analyst,0.0635,0.3333,0.0,7,4,2,2,1.0,1.0,0
res_19,jd_03_data_analyst,0.0279,0.1667,0.0,6,3,2,1,1.0,1.0,0
res_20,jd_03_data_analyst,0.0137,0.3333,0.0,7,3,2,1,1.0,1.0,0
res_21,jd_03_data_analyst,0.1523,1.0,0.2,7,4,2,2,1.0,1.0,1
res_22,jd_03_data_analyst,0.0548,0.1667,0.0,7,3,2,1,1.0,1.0,0
res_23,jd_03_data_analyst,0.0121,0.1667,0.0,7,4,2,2,1.0,1.0,0
res_24,jd_03_data_analyst,0.0137,0.1667,0.0,7,5,2,3,1.0,1.0,0
res_25,jd_03_data_analyst,0.0386,0.3333,0.2,8,5,2,3,1.0,1.0,0
res_26,jd_03_data_analyst,0.0423,0.0,0.0,5,4,2,2,1.0,1.0,0
res_27,jd_03_data_analyst,0.0131,0.0,0.0,5,2,2,0,1.0,1.0,0
res_28,jd_03_data_analyst,0.0125,0.3333,0.0,6,5,2,3,1.0,1.0,0
res_29,jd_03_data_analyst,0.0266,0.1667,0.0,7,5,2,3,1.0,1.0,0
res_30,jd_03_data_analyst,0.0137,0.3333,0.0,6,3,2,1,1.0,1.0,0
res_01,jd_04_fullstack_dev,0.0281,0.1429,0.2,9,4,3,1,1.0,1.0,0
res_02,jd_04_fullstack_dev,0.0144,0.1429,0.2,8,4,3,1,1.0,1.0,0
res_03,jd_04_fullstack_dev,0.0434,0.1429,0.0,3,1,3,-2,0.0,1.0,0
res_04,jd_04_fullstack_dev,0.116,0.2857,0.0,9,6,3,3,1.0,1.0,0
res_05,jd_04_fullstack_dev,0.063,0.2857,0.0,7,7,3,4,1.0,1.0,0
res_06,jd_04_fullstack_dev,0.0133,0.1429,0.0,8,3,3,0,1.0,1.0,0
res_07,jd_04_fullstack_dev,0.0537,0.1429,0.0,7,2,3,-1,0.0,1.0,0
res_08,jd_04_fullstack_dev,0.1663,1.0,0.4,9,4,3,1,1.0,1.0,1
res_09,jd_04_fullstack_dev,0.0133,0.1429,0.0,8,5,3,2,1.0,1.0,0
res_10,jd_04_fullstack_dev,0.0631,0.1429,0.0,8,4,3,1,1.0,1.0,0
res_11,jd_04_fullstack_dev,0.0292,0.1429,0.2,8,4,3,1,1.0,1.0,0
res_12,jd_04_fullstack_dev,0.0138,0.1429,0.0,9,6,3,3,1.0,1.0,0
res_13,jd_04_fullstack_dev,0.0465,0.1429,0.0,8,6,3,3,1.0,1.0,0
res_14,jd_04_fullstack_dev,0.0603,0.5714,0.0,7,3,3,0,1.0,1.0,0
res_15,jd_04_fullstack_dev,0.0934,0.1429,0.0,7,5,3,2,1.0,1.0,0
res_16,jd_04_fullstack_dev,0.0305,0.1429,0.0,7,5,3,2,1.0,1.0,0
res_17,jd_04_fullstack_dev,0.015,0.1429,0.0,4,1,3,-2,0.0,1.0,0
res_18,jd_04_fullstack_dev,0.0578,0.1429,0.2,7,4,3,1,1.0,1.0,0
res_19,jd_04_fullstack_dev,0.0842,0.2857,0.2,6,3,3,0,1.0,1.0,0
res_20,jd_04_fullstack_dev,0.0489,0.1429,0.2,7,3,3,0,1.0,1.0,0
res_21,jd_04_fullstack_dev,0.0138,0.1429,0.0,7,4,3,1,1.0,1.0,0
res_22,jd_04_fullstack_dev,0.155,1.0,0.0,7,3,3,0,1.0,1.0,1
res_23,jd_04_fullstack_dev,0.0138,0.1429,0.0,7,4,3,1,1.0,1.0,0
res_24,jd_04_fullstack_dev,0.032,0.1429,0.2,7,5,3,2,1.0,1.0,0
res_25,jd_04_fullstack_dev,0.0144,0.1429,0.0,8,5,3,2,1.0,1.0,0
res_26,jd_04_fullstack_dev,0.032,0.0,0.0,5,4,3,1,1.0,1.0,0
res_27,jd_04_fullstack_dev,0.1353,0.5714,0.0,5,2,3,-1,0.0,1.0,0
res_28,jd_04_fullstack_dev,0.0292,0.2857,0.0,6,5,3,2,1.0,1.0,0
res_29,jd_04_fullstack_dev,0.0801,0.2857,0.0,7,5,3,2,1.0,1.0,0
res_30,jd_04_fullstack_dev,0.032,0.1429,0.2,6,3,3,0,1.0,1.0,0
res_01,jd_05_nlp_engineer,0.039,0.3333,0.2,9,4,4,0,1.0,0.0,0
res_02,jd_05_nlp_engineer,0.0267,0.3333,0.0,8,4,4,0,1.0,0.0,0
res_03,jd_05_nlp_engineer,0.026,0.3333,0.0,3,1,4,-3,0.0,0.0,0
res_04,jd_05_nlp_engineer,0.0424,0.1667,0.0,9,6,4,2,1.0,1.0,0
res_05,jd_05_nlp_engineer,0.0137,0.1667,0.0,7,7,4,3,1.0,0.0,0
res_06,jd_05_nlp_engineer,0.0122,0.1667,0.0,8,3,4,-1,0.0,0.0,0
res_07,jd_05_nlp_engineer,0.0362,0.1667,0.0,7,2,4,-2,0.0,0.0,0
res_08,jd_05_nlp_engineer,0.0131,0.1667,0.0,9,4,4,0,1.0,0.0,0
res_09,jd_05_nlp_engineer,0.1223,1.0,0.4,8,5,4,1,1.0,1.0,1
res_10,jd_05_nlp_engineer,0.1229,1.0,0.4,8,4,4,0,1.0,1.0,1
res_11,jd_05_nlp_engineer,0.0267,0.1667,0.0,8,4,4,0,1.0,0.0,0
res_12,jd_05_nlp_engineer,0.0126,0.1667,0.0,9,6,4,2,1.0,1.0,0
res_13,jd_05_nlp_engineer,0.0424,0.1667,0.0,8,6,4,2,1.0,1.0,0
res_14,jd_05_nlp_engineer,0.0,0.0,0.0,7,3,4,-1,0.0,0.0,0
res_15,jd_05_nlp_engineer,0.0406,0.0,0.0,7,5,4,1,1.0,0.0,0
res_16,jd_05_nlp_engineer,0.0279,0.1667,0.2,7,5,4,1,1.0,0.0,0
res_17,jd_05_nlp_engineer,0.0137,0.1667,0.0,4,1,4,-3,0.0,0.0,0
res_18,jd_05_nlp_engineer,0.0668,0.3333,0.0,7,4,4,0,1.0,0.0,0
res_19,jd_05_nlp_engineer,0.0144,0.1667,0.0,6,3,4,-1,0.0,0.0,0
res_20,jd_05_nlp_engineer,0.0292,0.3333,0.2,7,3,4,-1,0.0,0.0,0
res_21,jd_05_nlp_engineer,0.0126,0.1667,0.0,7,4,4,0,1.0,0.0,0
res_22,jd_05_nlp_engineer,0.0424,0.1667,0.0,7,3,4,-1,0.0,0.0,0
res_23,jd_05_nlp_engineer,0.1117,1.0,0.2,7,4,4,0,1.0,1.0,1
res_24,jd_05_nlp_engineer,0.0292,0.1667,0.0,7,5,4,1,1.0,0.0,0
res_25,jd_05_nlp_engineer,0.0267,0.1667,0.0,8,5,4,1,1.0,1.0,0
res_26,jd_05_nlp_engineer,0.0144,0.0,0.2,5,4,4,0,1.0,0.0,0
res_27,jd_05_nlp_engineer,0.0279,0.0,0.0,5,2,4,-2,0.0,0.0,0
res_28,jd_05_nlp_engineer,0.0267,0.1667,0.0,6,5,4,1,1.0,0.0,0
res_29,jd_05_nlp_engineer,0.0137,0.1667,0.0,7,5,4,1,1.0,1.0,0
res_30,jd_05_nlp_engineer,0.0446,0.3333,0.0,6,3,4,-1,0.0,0.0,0
res_01,jd_06_devops_engineer,0.0151,0.1667,0.2,9,4,3,1,1.0,1.0,0
res_02,jd_06_devops_engineer,0.0319,0.3333,0.2,8,4,3,1,1.0,1.0,0
res_03,jd_06_devops_engineer,0.0473,0.0,0.2,3,1,3,-2,0.0,1.0,0
res_04,jd_06_devops_engineer,0.0508,0.3333,0.2,9,6,3,3,1.0,1.0,0
res_05,jd_06_devops_engineer,0.0164,0.0,0.2,7,7,3,4,1.0,1.0,0
res_06,jd_06_devops_engineer,0.0145,0.0,0.2,8,3,3,0,1.0,1.0,0
res_07,jd_06_devops_engineer,0.0434,0.0,0.2,7,2,3,-1,0.0,1.0,0
res_08,jd_06_devops_engineer,0.0157,0.1667,0.2,9,4,3,1,1.0,1.0,0
res_09,jd_06_devops_engineer,0.0451,0.0,0.2,8,5,3,2,1.0,1.0,0
res_10,jd_06_devops_engineer,0.0508,0.0,0.2,8,4,3,1,1.0,1.0,0
res_11,jd_06_devops_engineer,0.1023,1.0,0.4,8,4,3,1,1.0,1.0,1
res_12,jd_06_devops_engineer,0.0151,0.0,0.2,9,6,3,3,1.0,1.0,0
res_13,jd_06_devops_engineer,0.0508,0.0,0.2,8,6,3,3,1.0,1.0,0
res_14,jd_06_devops_engineer,0.0,0.0,0.0,7,3,3,0,1.0,1.0,0
res_15,jd_06_devops_engineer,0.0157,0.1667,0.0,7,5,3,2,1.0,1.0,0
res_16,jd_06_devops_engineer,0.0164,0.1667,0.2,7,5,3,2,1.0,1.0,0
res_17,jd_06_devops_engineer,0.0333,0.0,0.2,4,1,3,-2,0.0,1.0,0
res_18,jd_06_devops_engineer,0.0805,0.3333,0.2,7,4,3,1,1.0,1.0,0
res_19,jd_06_devops_engineer,0.0349,0.1667,0.2,6,3,3,0,1.0,1.0,0
res_20,jd_06_devops_engineer,0.0349,0.1667,0.2,7,3,3,0,1.0,1.0,0
res_21,jd_06_devops_engineer,0.0151,0.0,0.2,7,4,3,1,1.0,1.0,0
res_22,jd_06_devops_engineer,0.0508,0.0,0.2,7,3,3,0,1.0,1.0,0
res_23,jd_06_devops_engineer,0.0468,0.0,0.2,7,4,3,1,1.0,1.0,0
res_24,jd_06_devops_engineer,0.0725,1.0,0.2,7,5,3,2,1.0,1.0,1
res_25,jd_06_devops_engineer,0.0157,0.0,0.2,8,5,3,2,1.0,1.0,0
res_26,jd_06_devops_engineer,0.0171,0.1667,0.0,5,4,3,1,1.0,1.0,0
res_27,jd_06_devops_engineer,0.0164,0.0,0.0,5,2,3,-1,0.0,1.0,0
res_28,jd_06_devops_engineer,0.0319,0.0,0.2,6,5,3,2,1.0,1.0,0
res_29,jd_06_devops_engineer,0.0333,0.1667,0.2,7,5,3,2,1.0,1.0,0
res_30,jd_06_devops_engineer,0.0724,0.1667,0.2,6,3,3,0,1.0,1.0,0
res_01,jd_07_data_scientist,0.0509,0.8571,0.0,9,4,5,-1,0.0,0.0,0
res_02,jd_07_data_scientist,0.0819,0.5714,0.0,8,4,5,-1,0.0,0.0,0
res_03,jd_07_data_scientist,0.0383,0.2857,0.0,3,1,5,-4,0.0,0.0,0
res_04,jd_07_data_scientist,0.0556,0.1429,0.0,9,6,5,1,1.0,1.0,0
res_05,jd_07_data_scientist,0.0554,0.1429,0.0,7,7,5,2,1.0,0.0,0
res_06,jd_07_data_scientist,0.0239,0.4286,0.0,8,3,5,-2,0.0,0.0,0
res_07,jd_07_data_scientist,0.0599,0.2857,0.0,7,2,5,-3,0.0,0.0,0
res_08,jd_07_data_scientist,0.0393,0.1429,0.0,9,4,5,-1,0.0,0.0,0
res_09,jd_07_data_scientist,0.0118,0.1429,0.0,8,5,5,0,1.0,1.0,0
res_10,jd_07_data_scientist,0.0704,0.1429,0.0,8,4,5,-1,0.0,1.0,0
res_11,jd_07_data_scientist,0.0127,0.1429,0.0,8,4,5,-1,0.0,0.0,0
res_12,jd_07_data_scientist,0.1391,1.0,0.2,9,6,5,1,1.0,1.0,1
res_13,jd_07_data_scientist,0.1022,1.0,0.2,8,6,5,1,1.0,1.0,1
res_14,jd_07_data_scientist,0.0,0.0,0.0,7,3,5,-2,0.0,0.0,0
res_15,jd_07_data_scientist,0.0127,0.1429,0.0,7,5,5,0,1.0,0.0,0
res_16,jd_07_data_scientist,0.0133,0.1429,0.0,7,5,5,0,1.0,0.0,0
res_17,jd_07_data_scientist,0.027,0.2857,0.0,4,1,5,-4,0.0,0.0,0
res_18,jd_07_data_scientist,0.0646,0.5714,0.0,7,4,5,-1,0.0,0.0,0
res_19,jd_07_data_scientist,0.0283,0.1429,0.0,6,3,5,-2,0.0,0.0,0
res_20,jd_07_data_scientist,0.0283,0.5714,0.0,7,3,5,-2,0.0,0.0,0
res_21,jd_07_data_scientist,0.0248,0.2857,0.0,7,4,5,-1,0.0,0.0,0
res_22,jd_07_data_scientist,0.0706,0.1429,0.0,7,3,5,-2,0.0,0.0,0
res_23,jd_07_data_scientist,0.0644,0.1429,0.0,7,4,5,-1,0.0,1.0,0
res_24,jd_07_data_scientist,0.0139,0.1429,0.0,7,5,5,0,1.0,0.0,0
res_25,jd_07_data_scientist,0.1126,1.0,0.2,8,5,5,0,1.0,1.0,1
res_26,jd_07_data_scientist,0.0283,0.0,0.0,5,4,5,-1,0.0,0.0,0
res_27,jd_07_data_scientist,0.0133,0.0,0.0,5,2,5,-3,0.0,0.0,0
res_28,jd_07_data_scientist,0.0127,0.2857,0.0,6,5,5,0,1.0,0.0,0
res_29,jd_07_data_scientist,0.027,0.1429,0.0,7,5,5,0,1.0,1.0,0
res_30,jd_07_data_scientist,0.074,0.5714,0.0,6,3,5,-2,0.0,0.0,0
res_01,jd_08_frontend_dev,0.0151,0.0,0.0,9,4,2,2,1.0,1.0,0
res_02,jd_08_frontend_dev,0.0157,0.0,0.0,8,4,2,2,1.0,1.0,0
res_03,jd_08_frontend_dev,0.031,0.0,0.0,3,1,2,-1,0.0,1.0,0
res_04,jd_08_frontend_dev,0.0508,0.0,0.0,9,6,2,4,1.0,1.0,0
res_05,jd_08_frontend_dev,0.0164,0.0,0.0,7,7,2,5,1.0,1.0,0
res_06,jd_08_frontend_dev,0.0145,0.0,0.0,8,3,2,1,1.0,1.0,0
res_07,jd_08_frontend_dev,0.0434,0.0,0.0,7,2,2,0,1.0,1.0,0
res_08,jd_08_frontend_dev,0.0486,0.8,0.2,9,4,2,2,1.0,1.0,0
res_09,jd_08_frontend_dev,0.0145,0.0,0.0,8,5,2,3,1.0,1.0,0
res_10,jd_08_frontend_dev,0.0508,0.0,0.0,8,4,2,2,1.0,1.0,0
res_11,jd_08_frontend_dev,0.0157,0.0,0.0,8,4,2,2,1.0,1.0,0
res_12,jd_08_frontend_dev,0.0151,0.0,0.0,9,6,2,4,1.0,1.0,0
res_13,jd_08_frontend_dev,0.0508,0.0,0.0,8,6,2,4,1.0,1.0,0
res_14,jd_08_frontend_dev,0.0486,1.0,0.4,7,3,2,1,1.0,1.0,1
res_15,jd_08_frontend_dev,0.0157,0.0,0.0,7,5,2,3,1.0,1.0,0
res_16,jd_08_frontend_dev,0.0333,0.0,0.0,7,5,2,3,1.0,1.0,0
res_17,jd_08_frontend_dev,0.0164,0.0,0.0,4,1,2,-1,0.0,1.0,0
res_18,jd_08_frontend_dev,0.0467,0.0,0.0,7,4,2,2,1.0,1.0,0
res_19,jd_08_frontend_dev,0.0171,0.0,0.0,6,3,2,1,1.0,1.0,0
res_20,jd_08_frontend_dev,0.0171,0.0,0.0,7,3,2,1,1.0,1.0,0
res_21,jd_08_frontend_dev,0.0151,0.0,0.0,7,4,2,2,1.0,1.0,0
res_22,jd_08_frontend_dev,0.0689,0.8,0.0,7,3,2,1,1.0,1.0,0
res_23,jd_08_frontend_dev,0.0306,0.0,0.0,7,4,2,2,1.0,1.0,0
res_24,jd_08_frontend_dev,0.0171,0.0,0.0,7,5,2,3,1.0,1.0,0
res_25,jd_08_frontend_dev,0.0157,0.0,0.0,8,5,2,3,1.0,1.0,0
res_26,jd_08_frontend_dev,0.0171,0.0,0.0,5,4,2,2,1.0,1.0,0
res_27,jd_08_frontend_dev,0.0689,1.0,0.0,5,2,2,0,1.0,1.0,1
res_28,jd_08_frontend_dev,0.0157,0.0,0.0,6,5,2,3,1.0,1.0,0
res_29,jd_08_frontend_dev,0.0164,0.0,0.0,7,5,2,3,1.0,1.0,0
res_30,jd_08_frontend_dev,0.0171,0.0,0.0,6,3,2,1,1.0,1.0,0
res_01,jd_09_database_admin,0.0154,0.2,0.2,9,4,4,0,1.0,1.0,0
res_02,jd_09_database_admin,0.0161,0.2,0.2,8,4,4,0,1.0,1.0,0
res_03,jd_09_database_admin,0.0,0.0,0.2,3,1,4,-3,0.0,1.0,0
res_04,jd_09_database_admin,0.0168,0.0,0.4,9,6,4,2,1.0,1.0,0
res_05,jd_09_database_admin,0.0341,0.0,0.4,7,7,4,3,1.0,1.0,0
res_06,jd_09_database_admin,0.0149,0.2,0.2,8,3,4,-1,0.0,1.0,0
res_07,jd_09_database_admin,0.0292,0.2,0.2,7,2,4,-2,0.0,1.0,0
res_08,jd_09_database_admin,0.0327,0.2,0.2,9,4,4,0,1.0,1.0,0
res_09,jd_09_database_admin,0.0302,0.0,0.2,8,5,4,1,1.0,1.0,0
res_10,jd_09_database_admin,0.0341,0.0,0.2,8,4,4,0,1.0,1.0,0
res_11,jd_09_database_admin,0.0327,0.0,0.4,8,4,4,0,1.0,1.0,0
res_12,jd_09_database_admin,0.0154,0.2,0.2,9,6,4,2,1.0,1.0,0
res_13,jd_09_database_admin,0.0168,0.2,0.2,8,6,4,2,1.0,1.0,0
res_14,jd_09_database_admin,0.0,0.0,0.0,7,3,4,-1,0.0,1.0,0
res_15,jd_09_database_admin,0.2111,1.0,0.4,7,5,4,1,1.0,1.0,1
res_16,jd_09_database_admin,0.0168,0.0,0.4,7,5,4,1,1.0,1.0,0
res_17,jd_09_database_admin,0.0,0.2,0.2,4,1,4,-3,0.0,1.0,0
res_18,jd_09_database_admin,0.0314,0.2,0.2,7,4,4,0,1.0,1.0,0
res_19,jd_09_database_admin,0.0176,0.0,0.4,6,3,4,-1,0.0,1.0,0
res_20,jd_09_database_admin,0.0176,0.2,0.2,7,3,4,-1,0.0,1.0,0
res_21,jd_09_database_admin,0.0154,0.2,0.2,7,4,4,0,1.0,1.0,0
res_22,jd_09_database_admin,0.0341,0.2,0.2,7,3,4,-1,0.0,1.0,0
res_23,jd_09_database_admin,0.0154,0.0,0.2,7,4,4,0,1.0,1.0,0
res_24,jd_09_database_admin,0.0358,0.0,0.4,7,5,4,1,1.0,1.0,0
res_25,jd_09_database_admin,0.0161,0.2,0.2,8,5,4,1,1.0,1.0,0
res_26,jd_09_database_admin,0.0358,0.0,0.2,5,4,4,0,1.0,1.0,0
res_27,jd_09_database_admin,0.0168,0.0,0.0,5,2,4,-2,0.0,1.0,0
res_28,jd_09_database_admin,0.1049,1.0,0.2,6,5,4,1,1.0,1.0,1
res_29,jd_09_database_admin,0.0168,0.0,0.4,7,5,4,1,1.0,1.0,0
res_30,jd_09_database_admin,0.0176,0.2,0.2,6,3,4,-1,0.0,1.0,0
res_01,jd_10_cpp_systems_dev,0.0306,0.0,0.2,9,4,3,1,1.0,1.0,0
res_02,jd_10_cpp_systems_dev,0.0,0.0,0.2,8,4,3,1,1.0,1.0,0
res_03,jd_10_cpp_systems_dev,0.0,0.0,0.2,3,1,3,-2,0.0,1.0,0
res_04,jd_10_cpp_systems_dev,0.0,0.0,0.2,9,6,3,3,1.0,1.0,0
res_05,jd_10_cpp_systems_dev,0.0,0.0,0.2,7,7,3,4,1.0,1.0,0
res_06,jd_10_cpp_systems_dev,0.0,0.0,0.2,8,3,3,0,1.0,1.0,0
res_07,jd_10_cpp_systems_dev,0.0,0.0,0.2,7,2,3,-1,0.0,1.0,0
res_08,jd_10_cpp_systems_dev,0.0,0.0,0.2,9,4,3,1,1.0,1.0,0
res_09,jd_10_cpp_systems_dev,0.0145,0.0,0.2,8,5,3,2,1.0,1.0,0
res_10,jd_10_cpp_systems_dev,0.0164,0.2,0.2,8,4,3,1,1.0,1.0,0
res_11,jd_10_cpp_systems_dev,0.0319,0.2,0.2,8,4,3,1,1.0,1.0,0
res_12,jd_10_cpp_systems_dev,0.0,0.0,0.2,9,6,3,3,1.0,1.0,0
res_13,jd_10_cpp_systems_dev,0.0,0.0,0.2,8,6,3,3,1.0,1.0,0
res_14,jd_10_cpp_systems_dev,0.0,0.0,0.0,7,3,3,0,1.0,1.0,0
res_15,jd_10_cpp_systems_dev,0.0,0.2,0.0,7,5,3,2,1.0,1.0,0
res_16,jd_10_cpp_systems_dev,0.0508,1.0,0.4,7,5,3,2,1.0,1.0,1
res_17,jd_10_cpp_systems_dev,0.0164,0.0,0.2,4,1,3,-2,0.0,1.0,0
res_18,jd_10_cpp_systems_dev,0.0306,0.0,0.2,7,4,3,1,1.0,1.0,0
res_19,jd_10_cpp_systems_dev,0.0,0.0,0.2,6,3,3,0,1.0,1.0,0
res_20,jd_10_cpp_systems_dev,0.0171,0.0,0.2,7,3,3,0,1.0,1.0,0
